subject,predicate,object,src_url
"구어(口語, colloquialism) 또는 구어체는 주로 음성 언어에서 이루어지는 일상적이고 비공식적인 어체를 일컫는다",어휘다양성,1.0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
"구어(口語, colloquialism) 또는 구어체는 주로 음성 언어에서 이루어지는 일상적이고 비공식적인 어체를 일컫는다",오타율,0.75,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
"구어(口語, colloquialism) 또는 구어체는 주로 음성 언어에서 이루어지는 일상적이고 비공식적인 어체를 일컫는다",수동태사용,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
"구어(口語, colloquialism) 또는 구어체는 주로 음성 언어에서 이루어지는 일상적이고 비공식적인 어체를 일컫는다",정중체사용,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
"구어(口語, colloquialism) 또는 구어체는 주로 음성 언어에서 이루어지는 일상적이고 비공식적인 어체를 일컫는다",구어체종결어미,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
"구어(口語, colloquialism) 또는 구어체는 주로 음성 언어에서 이루어지는 일상적이고 비공식적인 어체를 일컫는다",접속사과다,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
"구어(口語, colloquialism) 또는 구어체는 주로 음성 언어에서 이루어지는 일상적이고 비공식적인 어체를 일컫는다",의문문사용,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
"구어(口語, colloquialism) 또는 구어체는 주로 음성 언어에서 이루어지는 일상적이고 비공식적인 어체를 일컫는다",감탄문사용,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
"구어(口語, colloquialism) 또는 구어체는 주로 음성 언어에서 이루어지는 일상적이고 비공식적인 어체를 일컫는다",POS3gram,NOUN-PUNCT-NOUN:1,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
"구어(口語, colloquialism) 또는 구어체는 주로 음성 언어에서 이루어지는 일상적이고 비공식적인 어체를 일컫는다",POS3gram,PUNCT-NOUN-PUNCT:1,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
"구어(口語, colloquialism) 또는 구어체는 주로 음성 언어에서 이루어지는 일상적이고 비공식적인 어체를 일컫는다",POS3gram,NOUN-PUNCT-PROPN:1,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
"구어(口語, colloquialism) 또는 구어체는 주로 음성 언어에서 이루어지는 일상적이고 비공식적인 어체를 일컫는다",의존트리깊이,0.0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
"넓은 의미로는 입에서 나오는 말을 의미하나, 보통 구어라 하면 일상 대화에서 쓰는 비격식체로서 문장에서 쓰는 격식 어체인 문어에 대응되는 개념을 가리킨다",어휘다양성,0.9545,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
