subject,predicate,object
0,어휘다양성,1.0
0,오타율,0.75
0,수동태사용,0
0,정중체사용,0
0,구어체종결어미,0
0,접속사과다,0
0,의문문사용,0
0,감탄문사용,0
0,POS3gram,NOUN-PUNCT-NOUN:1
0,POS3gram,PUNCT-NOUN-PUNCT:1
0,POS3gram,NOUN-PUNCT-PROPN:1
0,의존트리깊이,0.0
1,어휘다양성,0.9545
1,오타율,0.9091
1,수동태사용,0
1,정중체사용,0
1,구어체종결어미,0
1,접속사과다,0
1,의문문사용,0
1,감탄문사용,0
1,POS3gram,NOUN-ADV-VERB:2
1,POS3gram,ADV-VERB-NOUN:2
1,POS3gram,VERB-NOUN-CCONJ:2
1,의존트리깊이,0.0
2,어휘다양성,0.7333
2,오타율,0.7
2,수동태사용,0
2,정중체사용,0
2,구어체종결어미,0
2,접속사과다,0
2,의문문사용,0
2,감탄문사용,0
2,POS3gram,NOUN-PUNCT-NOUN:6
2,POS3gram,PUNCT-NOUN-PUNCT:6
2,POS3gram,NOUN-NOUN-NOUN:3
2,의존트리깊이,0.0
3,어휘다양성,0.8
3,오타율,0.6
3,수동태사용,0
3,정중체사용,0
3,구어체종결어미,0
3,접속사과다,0
3,의문문사용,0
3,감탄문사용,0
3,POS3gram,NOUN-PUNCT-NOUN:4
3,POS3gram,PUNCT-NOUN-PUNCT:3
3,POS3gram,NOUN-NOUN-PUNCT:1
3,의존트리깊이,0.0
4,어휘다양성,0.9167
4,오타율,0.75
4,수동태사용,0
4,정중체사용,0
4,구어체종결어미,0
4,접속사과다,0
4,의문문사용,0
4,감탄문사용,0
4,POS3gram,VERB-NOUN-PUNCT:1
4,POS3gram,NOUN-PUNCT-NOUN:1
4,POS3gram,PUNCT-NOUN-CCONJ:1
4,의존트리깊이,0.0
5,어휘다양성,1.0
5,오타율,0.6667
5,수동태사용,0
5,정중체사용,0
5,구어체종결어미,0
5,접속사과다,0
5,의문문사용,0
5,감탄문사용,0
5,POS3gram,ADV-SCONJ-VERB:1
5,의존트리깊이,0.0
6,어휘다양성,0.9
6,오타율,0.6
6,수동태사용,0
6,정중체사용,0
6,구어체종결어미,0
6,접속사과다,0
6,의문문사용,0
6,감탄문사용,0
6,POS3gram,PROPN-PUNCT-PROPN:1
6,POS3gram,PUNCT-PROPN-PUNCT:1
6,POS3gram,PROPN-PUNCT-ADJ:1
6,의존트리깊이,0.0
7,어휘다양성,1.0
7,오타율,1.0
7,수동태사용,0
7,정중체사용,0
7,구어체종결어미,0
7,접속사과다,0
7,의문문사용,0
7,감탄문사용,0
7,POS3gram,ADV-NOUN-ADV:1
7,POS3gram,NOUN-ADV-VERB:1
7,POS3gram,ADV-VERB-NOUN:1
7,의존트리깊이,0.0
8,어휘다양성,1.0
8,오타율,1.0
