subject,predicate,object,src_url
0,어휘다양성,1.0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
0,오타율,0.75,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
0,수동태사용,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
0,정중체사용,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
0,구어체종결어미,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
0,접속사과다,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
0,의문문사용,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
0,감탄문사용,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
0,POS3gram,NOUN-PUNCT-NOUN:1,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
0,POS3gram,PUNCT-NOUN-PUNCT:1,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
0,POS3gram,NOUN-PUNCT-PROPN:1,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
0,의존트리깊이,0.0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
1,어휘다양성,0.9545,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
1,오타율,0.9091,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
1,수동태사용,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
1,정중체사용,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
1,구어체종결어미,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
1,접속사과다,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
1,의문문사용,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
1,감탄문사용,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
1,POS3gram,NOUN-ADV-VERB:2,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
1,POS3gram,ADV-VERB-NOUN:2,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
1,POS3gram,VERB-NOUN-CCONJ:2,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
1,의존트리깊이,0.0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
2,어휘다양성,0.7333,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
2,오타율,0.7,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
2,수동태사용,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
2,정중체사용,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
2,구어체종결어미,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
2,접속사과다,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
2,의문문사용,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
2,감탄문사용,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
2,POS3gram,NOUN-PUNCT-NOUN:6,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
2,POS3gram,PUNCT-NOUN-PUNCT:6,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
2,POS3gram,NOUN-NOUN-NOUN:3,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
2,의존트리깊이,0.0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
3,어휘다양성,0.8,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
3,오타율,0.6,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
3,수동태사용,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
3,정중체사용,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
3,구어체종결어미,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
3,접속사과다,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
3,의문문사용,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
3,감탄문사용,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
3,POS3gram,NOUN-PUNCT-NOUN:4,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
3,POS3gram,PUNCT-NOUN-PUNCT:3,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
3,POS3gram,NOUN-NOUN-PUNCT:1,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
3,의존트리깊이,0.0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
4,어휘다양성,0.9167,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
4,오타율,0.75,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
4,수동태사용,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
4,정중체사용,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
4,구어체종결어미,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
4,접속사과다,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
4,의문문사용,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
4,감탄문사용,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
4,POS3gram,VERB-NOUN-PUNCT:1,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
4,POS3gram,NOUN-PUNCT-NOUN:1,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
4,POS3gram,PUNCT-NOUN-CCONJ:1,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
4,의존트리깊이,0.0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
5,어휘다양성,1.0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
5,오타율,0.6667,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
5,수동태사용,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
5,정중체사용,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
5,구어체종결어미,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
5,접속사과다,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
5,의문문사용,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
5,감탄문사용,0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
5,POS3gram,ADV-SCONJ-VERB:1,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
5,의존트리깊이,0.0,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
