subject,predicate,object,src_url
구어체,defines,colloquialism 구어체는 일상적이고,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
구어체,defines,쓰는 문장에서 입에서,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
구어체,defines,말뭉치를 회의에서는 글들에서는,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
구어체,defines,격식적 회의 방송,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
구어체,defines,대화 비격식적 가족,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
구어체,defines,두산세계대백과사전 구어,https://ko.wikipedia.org/wiki/%EA%B5%AC%EC%96%B4
문어체,defines,language literary formal,https://ko.wikipedia.org/wiki/%EB%AC%B8%EC%96%B4_(%EC%96%B8%EC%96%B4)
문어체,defines,차리지 구어의 반댓말이다,https://ko.wikipedia.org/wiki/%EB%AC%B8%EC%96%B4_(%EC%96%B8%EC%96%B4)
문어체,defines,문어는 고정된 가지고,https://ko.wikipedia.org/wiki/%EB%AC%B8%EC%96%B4_(%EC%96%B8%EC%96%B4)
문어체,defines,현대의 회화에서 구어체에,https://ko.wikipedia.org/wiki/%EB%AC%B8%EC%96%B4_(%EC%96%B8%EC%96%B4)
문어체,defines,구시대의 문어문이라고 문장양식을,https://ko.wikipedia.org/wiki/%EB%AC%B8%EC%96%B4_(%EC%96%B8%EC%96%B4)
문어체,defines,갑오개혁 전의 문자언어는,https://ko.wikipedia.org/wiki/%EB%AC%B8%EC%96%B4_(%EC%96%B8%EC%96%B4)
문어체,defines,발표되면서 이루어졌으나 글에,https://ko.wikipedia.org/wiki/%EB%AC%B8%EC%96%B4_(%EC%96%B8%EC%96%B4)
문어체,defines,두산세계대백과사전 문어,https://ko.wikipedia.org/wiki/%EB%AC%B8%EC%96%B4_(%EC%96%B8%EC%96%B4)
높임법,defines,또는 높임말 존댓말,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
높임법,defines,한자로 경칭 이라고,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
높임법,defines,유럽권의 사용이 드물다,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
높임법,defines,인칭 쓰이고 경어,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
높임법,defines,독일어와 경어는 별도의,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
높임법,defines,구별 사용 보통,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
높임법,defines,비유럽권의 체계가 발달되어,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
높임법,defines,수준에 개의 따라,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
높임법,defines,네팔어에서는 존칭 등급에,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
높임법,defines,brown penelope levinson,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
높임법,defines,some universals language,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
높임법,defines,cambridge england university,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
높임법,defines,frawley william,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
높임법,defines,semantics linguistic,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
높임법,defines,lawrence erlbaum,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
높임법,defines,levinson stephen,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
높임법,defines,sifianou maria,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
높임법,defines,phenomena greece politeness,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
높임법,defines,oxford university press,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
경어법,defines,또는 높임말 존댓말,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
경어법,defines,한자로 경칭 이라고,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
경어법,defines,유럽권의 사용이 드물다,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
경어법,defines,인칭 쓰이고 경어,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
경어법,defines,독일어와 경어는 별도의,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
경어법,defines,구별 사용 보통,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
경어법,defines,비유럽권의 체계가 발달되어,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
경어법,defines,수준에 개의 따라,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
경어법,defines,네팔어에서는 존칭 등급에,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
경어법,defines,brown penelope levinson,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
경어법,defines,some universals language,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
경어법,defines,cambridge england university,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
경어법,defines,frawley william,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
경어법,defines,semantics linguistic,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
경어법,defines,lawrence erlbaum,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
경어법,defines,levinson stephen,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
경어법,defines,sifianou maria,https://ko.wikipedia.org/wiki/%EB%86%92%EC%9E%84%EB%A7%90
